"challenge_id","question_id","question_text","answer_id","answer_text"
720,3466,"According to the 'otherwise' clause, what will happen if Andy does not take the special medication developed by SHADE?",3466,involuntarily explode
721,3467,What amount is stated as the advance for The Glass Books of the Dream Eaters?,3467,"$2,000,000"
721,3468,Which album is identified as Eddie Vedder's third solo album released in 2022?,3468,Earthling
721,3469,Where was Sir Nigel Barnard Hawthorne born (city and county)?,3469,"Coventry, Warwickshire"
721,3470,"In the category description, what award is listed together with the Lifetime Achievement Tony Award?",3470,Special Tony Award
721,3471,"According to the library sentence, the public access is available on which days?",3471,weekdays
722,3472,What duration is stated for the operation to repair damage to the chest and abdomen?,3472,two-hour
722,3473,How many companies are included on the list (in the same sentence mentioning seven new individuals)?,3473,17
722,3474,Ambassadors from how many EU member states are stated to be meeting in Brussels?,3474,28
722,3475,"In the White House statement, what ban is named alongside an asset freeze?",3475,a US visa ban
722,3476,What reason is given for freeing one member of the group described as a Swede?,3476,medical reasons
723,3477,Which abbreviation appears in parentheses immediately after the enzyme name Methylenetetrahydrofolatereductase?,3477,MTHFR
723,3478,"What two-word phrase follows the words ""short for"" when describing MINCON arguments?",3478,minimal consistent
723,3479,Which gene is stated to encode the rate-limiting enzyme in the methyl cycle?,3479,the MTHFR gene
723,3480,"Methylenetetrahydrofolate reductase catalyzes the conversion of 5,10-methylenetetrahydrofolate to what product?",3480,5-methyltetrahydrofolate
723,3481,"In the clause beginning with ""if"", what is described as inconsistent?",3481,the set of assumptions
724,3482,"In the IMDb dataset description, what average document length is given?",3482,231 words
724,3483,What speedup is reported for IMDb train time per epoch versus the optimized cuDNN LSTM?,3483,3.2x
724,3484,"In the character-level translation setup, what is the size of the unified vocabulary (Unicode code points)?",3484,187
724,3485,Which approach is stated as not applicable because QRNNs lack recurrent weights?,3485,variational inference approach
724,3486,"When the filter width equals 2, the equations reduce to what kind of form?",3486,LSTM-like
725,3487,Pat gives a one-word reply naming the sender; what is that reply?,3487,Anthony
725,3488,What time is stated for the start of the meeting mentioned for the next day?,3488,9am
725,3489,Which numeric string is provided after the confirmation from Mike?,3489,563-893-692
725,3490,"In Jess’s response, what limit is placed on the waiting time?",3490,no more than 5
725,3491,What phrase is explicitly given as the cause of the one-hour delay?,3491,technical hitches
726,3492,What is the name of the foreign ministry spokesman mentioned in Passage 1?,3492,Geng Shuang
726,3493,On what date did Washington impose additional 25 percent tariffs on $34 billion of Chinese goods in Passage 1?,3493,July 6
726,3494,"In Passage 1, the report refers to an additional amount of Chinese imports valued at how much?",3494,$200 billion
726,3495,"In Passage 1, the 25 percent tariff proposal is described as being higher than what planned rate?",3495,10 percent
726,3496,"According to Passage 2, the move is not ____.",3496,finalized
727,3497,What time is it when Jacob glances at his watch?,3497,3:30 A.M.
727,3498,How much does the ticket seller say it will cost?,3498,$119.75
727,3499,"In the chiropractic office, what is Louis's weight?",3499,280 pounds
727,3500,"According to the receptionist, how are doctors seen?",3500,by appointment only
727,3501,"During Jacob's fever, at what value does Jezzie say the thermometer's numbers stop?",3501,107
728,3502,"For National Old Trails Road, what year is given for when it was established?",3502,1912
728,3503,What mileage length is stated for the National Old Trails Road?,3503,"3,096 miles"
728,3504,What date is given for when the William Penn Highway Association of Pennsylvania was organized?,3504,"March 27, 1916"
728,3505,What is stated as the reason the Spirit of Freedom Tour never commenced?,3505,withdrawal of sponsorship funding
728,3506,"In the parenthetical note about alignments, what section is identified as the main exception?",3506,between Barstow and Victorville
729,3507,"What date appears at the start of the assignment line that mentions ROVI GUIDES, INC.?",3507,2015-05-14
729,3508,"On the record line that contains the company name ROVI GUIDES, INC., what company is listed after the label ""Assignors:""?",3508,"TV GUIDE, INC."
729,3509,"In the description of display 100, what label is used for what indicates entity 104 is currently speaking?",3509,event 106
729,3510,"Which quoted term is defined using the phrase ""refers to any information related to or associated with an event in a media asset""?",3510,“supplemental information”
729,3511,"When a portion is described as ending after the identified point, what duration is stated for that ending?",3511,ten seconds
730,3512,Which organization was contracted to haul the services?,3512,National Rail
730,3513,What duration is given for the journey time?,3513,10 hours 30 minutes
730,3514,What fraction is stated as the value for the “diatonic semitone”?,3514,16/15
730,3515,Under what circumstances did BL and 93 class locomotives haul the service?,3515,On occasions
730,3516,"How long did it take to finish the track ""Dhuan Dhuan"" in London?",3516,four hours
731,3517,"Rhino Foods Incorporated is described as ""founded in"" which year?",3517,1981
731,3518,"In the Income Advance Program, the same day loan is described as ""up to a"" what amount?",3518,$1000
731,3519,"After the words ""in the employee's name"", what clause appears?",3519,unless the employee cancels it
731,3520,Bruster's products are made fresh in order to avoid what?,3520,ice crystal formation
731,3521,What percentage is stated as the butterfat content for Chocolate Shoppe Ice Cream?,3521,14%
732,3522,"What value appears inside parentheses after the phrase ""1 mile""?",3522,"1,609 metres"
732,3523,Which bookmaker is named as the race sponsor starting in 2015?,3523,Betway
732,3524,What film is listed under Oliver Stone as the Oscar win?,3524,Midnight Express
732,3525,"For betting purposes, the two races form what?",3525,Spring Double
732,3526,The race is open to horses aged what or older?,3526,four years
733,3527,What date appears inside the parentheses after the words “Jonathan Leach (born”?,3527,"April 18, 1973"
733,3528,Where did the text say the ATP Challenger Tour doubles title came?,3528,"Weiden, Germany"
733,3529,"In the Lapidoth entry, what single word is shown in quotation marks in the Hebrew parenthetical?",3529,torches
733,3530,"For the Sydney Theatre Company, the text gives a year range for their joint artistic director roles; what is that range?",3530,2008 until 2012
733,3531,The text identifies a single location and year for the singles appearance; what location-and-year phrase is given?,3531,Indian Wells in 1994
734,3532,Which date is given for the unanimous vote to hire the law firm?,3532,August 19th
734,3533,What dollar amount is stated for what several City employees are paid per month?,3533,"$12,000"
734,3534,"In the parenthetical equation, what quantity is shown on the left side of the equals sign?",3534,748 gal
734,3535,"For jurisdictions within an MPO, how long is the stated revision cycle?",3535,eight years
734,3536,"According to the text, the due dates may be extended to enable access to more recent critical what?",3536,population or housing data
735,3537,What numeric measurement is quoted in the standard set by the EPA in 1978 for lead?,3537,1.5 µg/m3
735,3538,How many attendees are stated for the record-setting match at Bangalore Football Stadium?,3538,"8,347"
735,3539,What vote share is Tomás stated as receiving in the unusually spirited contest?,3539,76.4 percent
735,3540,"After the press-conference incident, what action is stated as happening to Zahovič?",3540,suspended
735,3541,"In the 1985 description of dead man gates, what is stated about the green indicator?",3541,didn't light
736,3542,What G-value is reported for the track run?,3542,2.4 Gs
736,3543,What dollar amount is stated as the fundraising target for rLoop’s IndieGoGo campaign?,3543,"$66,000"
736,3544,What four-word cost estimate is given for the tube system linking the two cities?,3544,north of $6 billion
736,3545,What is done to the thrust force in order to slow the pod?,3545,simply reversed
736,3546,"If any type of what occurs, the pods would keep levitating?",3546,power failure
737,3547,What birth date is given in parentheses for Saad Abdulrahman Ali?,3547,2 May 1985
737,3548,What exact year range is stated for when John William Joseph McMahon played in England?,3548,1947 to 1957
737,3549,"In the parenthetical phrase after Saad Bin Tefla AlAjmi’s name, what is the first alternative name listed?",3549,Saad Bin Tiflah
737,3550,Until which month and year did McMahon not miss a single Championship game?,3550,August 1957
737,3551,"In the account of Lobban’s debut match, who is named as his maiden victim?",3551,Ken Suttle
738,3552,What is the dimensionality stated for the word vectors used (Word2Vec/GloVe/FastText)?,3552,300 dimensions
738,3553,How many words are stated for the pre-lemmatized corpus?,3553,14 million words
738,3554,What percentage is given for the training set in the dataset split?,3554,64%
738,3555,"According to the text, what helps achieve better performance compared to a frozen one?",3555,fine-tuning word embedding
738,3556,"In the early stopping technique described, after how many epochs without a validation-loss decrease was training stopped?",3556,10 epochs
739,3557,The ALRA described a minor fire as costing less than what amount?,3557,$100
739,3558,"In the gameplay description, which two resources are named?",3558,gold and mana
739,3559,Diamond suggested wrapping cash in aluminum foil to avoid what?,3559,scrutiny from postal inspectors
739,3560,"In the described case of a woman after childbirth, what took precedence?",3560,burnt-offering
739,3561,What is the first date shown in parentheses after James Fraser Mustard’s name?,3561,"October 16, 1927"
740,3562,"In Passage 1, what number is given for how many candidates the field previously had?",3562,17
740,3563,What number is stated for how many candidates remain in competition for the Republican presidential nomination?,3563,15
740,3564,"In Passage 3, what duration is given for the campaign?",3564,71 days
740,3565,"In Passage 1, what date is named after the word ""until"" regarding when the reports become public?",3565,October 15
740,3566,"In Passage 2, under what arrangement did the source speak when discussing private conversations?",3566,condition of anonymity
741,3567,What was the score in the Michigan win over NC State?,3567,66–59
741,3568,On what date was Terraplane disbanded?,3568,1 January 1989
741,3569,"In the Berkeley example, parking is forbidden for how many consecutive hours or more?",3569,seventy-two
741,3570,A series is cancelled when it fails to make what?,3570,the top five
741,3571,"What is the stated reason a ""season"" comprises 10 screenings?",3571,no December screening
742,3572,"According to Carol, on what date will the bank close the account?",3572,16th Jan
742,3573,What is the stated per-person cost for the yoga session?,3573,5 bucks
742,3574,What postcode does Louise provide for the course?,3574,RM5 6YT
742,3575,"In Penny’s message about needing transport on Saturday, what 4-word substring begins the stated reason?",3575,because i don't have
742,3576,What 4-word substring does Jay use to state what must happen for him to arrive faster?,3576,if you stop texting
743,3577,On what date did Wellesley sail?,3577,24 March
743,3578,What was the rate stated for paying his own schoolmaster?,3578,£5 per year
743,3579,What pH is stated for the mitochondrial matrix?,3579,7.8
743,3580,S3TC's subsequent inclusion in Microsoft's DirectX 6.0 and OpenGL 1.3 led to what?,3580,widespread adoption
743,3581,"Instead of bringing different bars in actual contact, what did he use?",3581,four two-metre iron bars
744,3582,"In the text, what year is given for winning the Central European International Cup?",3582,1953
744,3583,What year is stated for Riggins being inducted into the Pro Football Hall of Fame?,3583,1992
744,3584,What exact string in the text gives the shirt number Aureliano wore at the Olympics tournament?,3584,number# 11
744,3585,"According to the text, what phrase states the intended effect of fielding a below strength, largely out-of-position team in the first match against Hungary?",3585,disguise the team's strengths
744,3586,"When attacking from the wings, what alternative location is explicitly ruled out in the text?",3586,down the middle
745,3587,On what date was the 69th British Academy Film Awards held?,3587,14 February 2016
745,3588,What is the symbol given for the pascal?,3588,Pa
745,3589,Which films are eligible for the categories of The British Short Film and British Short Animation awards?,3589,Only UK films
745,3590,How many flats do the third to seventh floors contain?,3590,78 flats
745,3591,Which country is explicitly mentioned as an example of a country that still uses the Imperial measurement system?,3591,the United States
746,3592,In which year was the Morrill Land-Grant College Act passed?,3592,1862
746,3593,What is the date given for the passing of the Smith-Lever Act?,3593,"May 8, 1914"
746,3594,Who plays a young Wilson Fisk?,3594,Cole Jensen
746,3595,Which item is named as having its damage doubled by the early 2017 balance update?,3595,Aegis Reflectors
746,3596,Skunk loaches may not be suitable for community-style tanks unless part of that community consists of what?,3596,a small school of skunk botia
747,3597,What time is stated after he checks his watch on the subway ride?,3597,3:30 A.M.
747,3598,What is the stated weight of the chiropractor?,3598,280 pounds
747,3599,"At what number does the thermometer scale end, as stated in the dialogue?",3599,107
747,3600,What limitation is stated for seeing the doctors at the reception desk?,3600,appointment only
747,3601,"In the emergency option described by the receptionist, what duration is stated?",3601,about an hour's wait
748,3602,What date is given for the King's Birthday Honours in which he was promoted to field marshal?,3602,8 June 1950
748,3603,What amount is specified for the inpatient charge per visit?,3603,€80
748,3604,How many sites are stated for the distance education state network?,3604,70 sites
748,3605,"According to the passage, what is the only way in orthodox chess for the moved piece in a double check to not give check?",3605,an en passant capture
748,3606,In what circumstances does the passage say it is possible for the moved piece in a double check to not give check?,3606,In exceptional circumstances
749,3607,How many sailors were lost in the four significant mishaps at sea since January 2017?,3607,17 sailors
749,3608,What is the current number of Navy ships stated?,3608,277 ships
749,3609,What reduction percentage is stated relative to the 333 ships it had in 1998?,3609,17 percent
749,3610,"In the definition of a class A mishap, what dollar threshold is mentioned?",3610,$2 million
749,3611,"According to Navy officials, U.S.-based crews are completely qualified and certified prior to deploying from their U.S. homeports, with what caveat?",3611,with few exceptions
750,3612,What is the default value specified for the command-line argument whose destination is input_file?,3612,data.main
750,3613,What value is assigned to the variable phi?,3613,0.4
750,3614,What numeric value is assigned to Torque_Lim?,3614,1.9904
750,3615,"In the path-length check guarding the 'Projected functions not found' print, what number is compared against len(path_to_append)?",3615,21
750,3616,What expression appears on the right-hand side of the assignment to debye_length_delta?,3616,2.0*a*firm_delta/np.log(1.0e1)
751,3617,How many bus routes does OC Transpo operate?,3617,170
751,3618,The last two digits of route numbers correspond to what?,3618,service area
751,3619,What color is mentioned in the NOTE about routes that operate during select time periods or certain days of the week only?,3619,white
751,3620,At what length is the longest transit escalator in Canada stated to be?,3620,35.3 metres
751,3621,In what year did the Transitway open?,3621,1983
752,3622,What date is shown in parentheses after Francisco Bojado’s name?,3622,11 May 1983
752,3623,"In the definition sentence for Pennell Coast, what is the second cape named?",3623,Cape Adare
752,3624,Gibbs Point forms the northwest entrance to which named cove?,3624,Gaul Cove
752,3625,What fraction is stated as the King’s share of the profit?,3625,one-fifth
752,3626,"Under the Sakoku isolationist policy, all trade and contact stopped except for very limited trade by whom?",3626,the Dutch
753,3627,How many people did the Secret Service provide protection for in connection with the 2016 presidential campaign?,3627,12 individuals
753,3628,Approximately what amount did the Secret Service’s travel expenses total for the 12 individuals protected during the 2016 presidential campaign?,3628,$58 million
753,3629,What amount did the text say the Secret Service overpaid the 4 campaign committees at least for special agents’ seats on chartered aircraft?,3629,$3.9 million
753,3630,"Under the actual expense allowance method, what level is the maximum reimbursement limited to?",3630,300 percent
753,3631,"If an invoice is incomplete or inaccurate, it should be returned to the protected individual within what timeframe?",3631,seven days
754,3632,What date is given for when the first Bastar Dialogue was held at Tilda Chhattisgarh?,3632,8th June 2018
754,3633,What buy-in amount is stated for the Big One for One Drop live event?,3633,"$1,000,000"
754,3634,What maximum number is given for how many Canning Hall can accommodate?,3634,sixty-five
754,3635,"According to Tegan, what did the Mongolian blue spot mean?",3635,Cameron isn't the father
754,3636,"In the clause beginning with 'With the exception of', what item is named as the exception?",3636,title track
755,3637,Which version number is given for the CARLA simulator in the implementation setup?,3637,0.9.11
755,3638,Which version number is listed for the Gurobi Optimizer?,3638,9.1.1
755,3639,What value is assigned to the simulation step size?,3639,0.05s
755,3640,"When there is no leading vehicle, what value limits the headway?",3640,50m
755,3641,"In the testing scenario caption, which lane is stated as not utilized in the simulation?",3641,lane 3
756,3642,"What date is given immediately after the words ""Published on"" in Passage 1?",3642,"Feb 13, 2014"
756,3643,"In Passage 1, what time is listed for when the first heat starts on Sunday?",3643,11:15AM EST
756,3644,"In Passage 2, what is the stated number of turns on the track?",3644,17 turns
756,3645,"In Passage 2, the tune is described as designed to sync with what?",3645,the two-man run of Marvin Dixon and Winston Watts
756,3646,"In Passage 3, in the clause ""If you start the song just as the Jamaican bobsled team ..."", what words come next?",3646,begins its run
757,3647,What time does training start tomorrow?,3647,6:30
757,3648,How many questions are there on the algebra final exam?,3648,15
757,3649,"Fill in the destination in: ""leaving for ___ tonight"".",3649,London
757,3650,"Complete the condition: ""pay a bit more since the driver is ___"".",3650,under 25
757,3651,"Finish the phrase: ""I don't feel like swimming if ___"".",3651,its raining
758,3652,In what year did Alexa Internet start donating their crawl data to the Internet Archive?,3652,1996
758,3653,The data are added to the Wayback Machine after what?,3653,an embargo period
758,3654,What month and year are given for the long emotional letter to Patriarch Kirill (church officials say)?,3654,May 2012
758,3655,What date is stated for his death in Passage 2?,3655,23 December
758,3656,"According to the quoted position, weapons must serve to protect what for the Church to support creators and the soldiers who use it?",3656,the Fatherland
759,3657,What case number is given for “Bilski v. Kappos”?,3657,No. 08-964
759,3658,What date is given for the U.S. Patent and Trademark Office item titled “Interim Examination Instructions for Evaluating Subject Matter Eligibility Under 35 U.S.C. § 101”?,3658,"Aug. 24, 2009"
759,3659,What Westlaw citation appears for the item labeled with footnote number 25?,3659,2009 WL 2413623
759,3660,What is described as “a two-branched inquiry”?,3660,machine-or-transformation test
759,3661,"When the incorporated document is not a U.S. patent or published U.S. patent application, the option of importing subject matter into the specification is limited to what kind of subject matter?",3661,non-essential
760,3662,What amount is stated for the cash bond?,3662,"$10,000"
760,3663,What acronym is used for the standardized cognitive test called the Brief Interview for Mental Status?,3663,BIMS
760,3664,What hyphenated bed-count descriptor is given for Concord Care?,3664,66-bed
760,3665,What reason did staffers give for him not being allowed in 12N?,3665,made Donna’s roommate uncomfortable
760,3666,What stated caveat appears after the 2025 projection?,3666,barring medical breakthroughs
761,3667,What is Edwin Neal's birth date?,3667,"July 12, 1945"
761,3668,How many different voices did Edwin Neal set a record doing?,3668,26 different voices
761,3669,For what date is The Monthly Mirror issue identified in the text?,3669,May 1808
761,3670,What is stated as the reason Cormac was allowed to retain his office of Prior of Drumlane?,3670,the small revenues of the diocese
761,3671,"To be eligible to earn the SCWS insignia, what must personnel first be assigned to?",3671,a qualifying unit of the Naval Construction Force (Seabees)
762,3672,"Where is Cardinal Health, Inc. headquartered?",3672,"Dublin, Ohio"
762,3673,What date is given for when the depot was added to the National Register of Historic Places?,3673,"August 7, 1989"
762,3674,How many main spans does the Kansas City Southern Bridge have?,3674,two
762,3675,In what month and year was R. Kerry Clark appointed president and CEO?,3675,April 2006
762,3676,As of which year did Panarail Tourism offer passenger service?,3676,2009
763,3677,"What location is stated after the words ""in"" in the sentence describing where Hugh H. Goodwin was born?",3677,"Monroe, Louisiana"
763,3678,What date is given for the enlistment in the United States Navy?,3678,"May 7, 1917"
763,3679,Which single word appears inside quotation marks as the nickname earned at the academy?,3679,Huge
763,3680,What is the stated date associated with the temporary rank of Commander?,3680,"January 1, 1942"
763,3681,What purpose did Goodwin give for leaving school without receiving the diploma?,3681,to see some combat
764,3682,What public law number (P.L.) is given for the Juvenile Justice and Delinquency Prevention Act in the sentence about enacting the Runaway Youth Act of 1974?,3682,P.L. 93-415
764,3683,What dollar amount is stated for the appropriations authorization for the street-based outreach program?,3683,$25 million
764,3684,"In the 2018 point-in-time count, what number is given for identified unaccompanied youth under age 25?",3684,"36,361"
764,3685,"In the funding split described as ""Of this amount,"" what percentage is reserved for the Basic Center Program (BCP)?",3685,45%
764,3686,"In the Transitional Living Program (TLP) section, what term is used for the circumstances under which youth ages 16 through 22 may remain for 635 days?",3686,exceptional circumstances
765,3687,What is the name of the huge square pile described as rising high above the rest?,3687,Melchior Tower
765,3688,How many armed men are stated to have been clattering behind Baron Conrad as he rode away to court?,3688,nearly a hundred
765,3689,"After the castle was stripped of its fighting men, how many remained behind to guard it?",3689,only eight
765,3690,"In the description of merchant caravans, what is the lord of Drachenhausen explicitly called?",3690,robber baron
765,3691,What are the first two words of the motto the Emperor Rudolph himself had given?,3691,Manus argentea
766,3692,What time is the Friday appointment set for?,3692,1pm
766,3693,What percentage did Ali mention for the ruling coalition?,3693,96%
766,3694,Ellen said she hopes it will be ready by when?,3694,by Christmas
766,3695,"Amy said the land was given to whom, hence the name?",3695,the Duke of York
766,3696,Which activity did Harriet specify as her workout?,3696,Little biking only
767,3697,"In the line where Gwen provides her home identifier, what code appears?",3697,K-710
767,3698,What time is mentioned for the Plaza booking stated by Rob?,3698,8pm
767,3699,Which percentage does Ashley state for Barca's dominance?,3699,60%
767,3700,Glen says he created the group so that they can do what?,3700,discuss our presentation
767,3701,What amount is offered by Ashley under a correct-guess condition?,3701,10 bucks
768,3702,"In the Awards and memberships section for Hobson, what year is given after the phrase indicating he was named an IEEE Fellow?",3702,1948
768,3703,"In the Awards and honors list, what exact dollar amount is stated as the prize that Rogers donated to the Foundation for Landscape Studies?",3703,"$80,000"
768,3704,"In the Central Park section, what hyphenated acreage value is used to describe the public space?",3704,843-acre
768,3705,"For Jesse Edward Hobson, what exact year range follows the phrase stating he was director of SRI International?",3705,1947 to 1955
768,3706,"In Fairstein's quoted statement, what phrase completes the condition after “until” in the sentence beginning “Nobody under sixteen was talked to”?",3706,a parent or guardian arrived
769,3707,What time interval is stated for how often bus 290 goes?,3707,40min
